total_charges,contract_month_to_month,contract_two_year,monthly_charges,device_protection,tenure
29.85,1.0,0.0,29.85,0,1
1936.3000000000002,0.0,0.0,56.95,1,34
107.7,1.0,0.0,53.85,0,2
1903.4999999999998,0.0,0.0,42.3,1,45
141.4,1.0,0.0,70.7,0,2
797.2,1.0,0.0,99.65,1,8
1960.1999999999998,1.0,0.0,89.1,0,22
297.5,1.0,0.0,29.75,0,10
2934.4,1.0,0.0,104.8,1,28
3481.2999999999997,0.0,0.0,56.15,0,62
649.35,1.0,0.0,49.95,0,13
303.2,0.0,1.0,18.95,0,16
5820.299999999999,0.0,0.0,100.35,1,58
5081.3,1.0,0.0,103.7,1,49
2637.5,1.0,0.0,105.5,1,25
7814.25,0.0,1.0,113.25,1,69
1073.8,0.0,0.0,20.65,0,52
7575.7,0.0,1.0,106.7,1,71
552.0,1.0,0.0,55.2,1,10
1891.05,1.0,0.0,90.05,1,21
39.65,1.0,0.0,39.65,1,1
237.60000000000002,0.0,0.0,19.8,0,12
20.15,1.0,0.0,20.15,0,1
3474.2,0.0,1.0,59.9,0,58
2920.4,1.0,0.0,59.6,0,49
1659.0,1.0,0.0,55.3,0,30
4669.45,1.0,0.0,99.35,0,47
30.2,1.0,0.0,30.2,0,1
6498.0,0.0,1.0,90.25,1,72
1099.9,1.0,0.0,64.7,0,17
6840.849999999999,0.0,1.0,96.35,1,71
191.0,1.0,0.0,95.5,1,2
1786.0500000000002,0.0,0.0,66.15,1,27
20.2,1.0,0.0,20.2,0,1
45.25,1.0,0.0,45.25,0,1
7192.8,0.0,1.0,99.9,0,72
348.5,1.0,0.0,69.7,0,5
3440.7999999999997,1.0,0.0,74.8,1,46
3615.8999999999996,1.0,0.0,106.35,1,34
1076.35,1.0,0.0,97.85,1,11
495.5,0.0,0.0,49.55,0,10
4844.0,0.0,1.0,69.2,0,70
352.75,0.0,0.0,20.75,0,17
5030.549999999999,0.0,1.0,79.85,1,63
990.6,1.0,0.0,76.2,0,13
4140.5,1.0,0.0,84.5,0,49
98.5,1.0,0.0,49.25,0,2
161.3,1.0,0.0,80.65,0,2
4147.0,0.0,1.0,79.75,0,52
4426.35,0.0,1.0,64.15,1,69
3880.75,1.0,0.0,90.25,0,43
1486.5,1.0,0.0,99.1,0,15
1737.5,1.0,0.0,69.5,0,25
645.2,1.0,0.0,80.65,0,8
4491.0,0.0,0.0,74.85,1,60
1718.1000000000001,1.0,0.0,95.45,0,18
6277.950000000001,0.0,0.0,99.65,0,63
7157.7,0.0,0.0,108.45,1,66
848.3,0.0,1.0,24.95,0,34
7740.0,0.0,1.0,107.5,1,72
4723.5,1.0,0.0,100.5,1,47
5394.0,1.0,0.0,89.9,0,60
3031.2000000000003,0.0,1.0,42.1,1,72
979.1999999999999,0.0,0.0,54.4,1,18
849.6,1.0,0.0,94.4,0,9
225.89999999999998,1.0,0.0,75.3,0,3
3708.3,0.0,0.0,78.9,0,47
2455.2000000000003,0.0,1.0,79.2,1,31
1007.4999999999999,0.0,1.0,20.15,0,50
798.5,1.0,0.0,79.85,1,10
49.05,1.0,0.0,49.05,0,1
1060.8,0.0,0.0,20.4,0,52
7142.4,0.0,1.0,111.6,1,64
1503.5,0.0,1.0,24.25,0,62
193.5,1.0,0.0,64.5,0,3
6188.0,0.0,0.0,110.5,1,56
2559.9,0.0,0.0,55.65,0,46
437.2,1.0,0.0,54.65,0,8
2242.5,1.0,0.0,74.75,0,30
1165.5,0.0,0.0,25.9,0,45
79.35,1.0,0.0,79.35,0,1
556.05,1.0,0.0,50.55,0,11
526.0500000000001,1.0,0.0,75.15,1,7
4359.599999999999,1.0,0.0,103.8,1,42
987.3499999999999,0.0,1.0,20.15,0,49
893.6999999999999,1.0,0.0,99.3,0,9
2175.25,0.0,0.0,62.15,0,35
991.1999999999999,0.0,1.0,20.65,0,48
917.6999999999999,0.0,1.0,19.95,0,46
978.75,1.0,0.0,33.75,0,29
2461.5,1.0,0.0,82.05,1,30
74.7,1.0,0.0,74.7,0,1
5544.0,0.0,1.0,84.0,1,66
7218.25,1.0,0.0,111.05,1,65
7264.8,0.0,1.0,100.9,1,72
947.4000000000001,1.0,0.0,78.95,0,12
4746.349999999999,0.0,0.0,66.85,0,71
105.25,1.0,0.0,21.05,0,5
1092.0,0.0,1.0,21.0,0,52
2462.5,1.0,0.0,98.5,1,25
20.2,1.0,0.0,20.2,0,1
19.45,1.0,0.0,19.45,0,1
3610.0,0.0,0.0,95.0,1,38
3006.2999999999997,0.0,0.0,45.55,1,66
7480.0,0.0,1.0,110.0,1,68
121.5,1.0,0.0,24.3,0,5
7498.8,0.0,0.0,104.15,0,72
964.8,0.0,0.0,30.15,0,32
4057.0499999999997,0.0,0.0,94.35,0,43
1396.8,0.0,1.0,19.4,0,72
5321.25,1.0,0.0,96.75,0,55
3013.4,0.0,0.0,57.95,1,52
3940.9500000000003,1.0,0.0,91.65,1,43
2830.5,1.0,0.0,76.5,0,37
3494.4,0.0,1.0,54.6,0,64
269.54999999999995,1.0,0.0,89.85,0,3
1117.8,0.0,1.0,31.05,0,36
1002.5,1.0,0.0,100.25,0,10
846.65,0.0,1.0,20.65,0,41
2300.4,1.0,0.0,85.2,0,27
5588.8,0.0,0.0,99.8,1,56
124.19999999999999,1.0,0.0,20.7,0,6
223.20000000000002,1.0,0.0,74.4,0,3
354.90000000000003,1.0,0.0,50.7,0,7
83.4,1.0,0.0,20.85,0,4
