total_charges,monthly_charges,contract_month_to_month,contract_two_year,churn,tenure
29.85,29.85,1.0,0.0,0,1
1936.3000000000002,56.95,0.0,0.0,0,34
107.7,53.85,1.0,0.0,1,2
1903.4999999999998,42.3,0.0,0.0,0,45
141.4,70.7,1.0,0.0,1,2
797.2,99.65,1.0,0.0,1,8
1960.1999999999998,89.1,1.0,0.0,0,22
297.5,29.75,1.0,0.0,0,10
2934.4,104.8,1.0,0.0,1,28
3481.2999999999997,56.15,0.0,0.0,0,62
649.35,49.95,1.0,0.0,0,13
303.2,18.95,0.0,1.0,0,16
5820.299999999999,100.35,0.0,0.0,0,58
5081.3,103.7,1.0,0.0,1,49
2637.5,105.5,1.0,0.0,0,25
7814.25,113.25,0.0,1.0,0,69
1073.8,20.65,0.0,0.0,0,52
7575.7,106.7,0.0,1.0,0,71
552.0,55.2,1.0,0.0,1,10
1891.05,90.05,1.0,0.0,0,21
39.65,39.65,1.0,0.0,1,1
237.60000000000002,19.8,0.0,0.0,0,12
20.15,20.15,1.0,0.0,1,1
3474.2,59.9,0.0,1.0,0,58
2920.4,59.6,1.0,0.0,0,49
1659.0,55.3,1.0,0.0,0,30
4669.45,99.35,1.0,0.0,1,47
30.2,30.2,1.0,0.0,1,1
6498.0,90.25,0.0,1.0,0,72
1099.9,64.7,1.0,0.0,1,17
6840.849999999999,96.35,0.0,1.0,0,71
191.0,95.5,1.0,0.0,0,2
1786.0500000000002,66.15,0.0,0.0,0,27
20.2,20.2,1.0,0.0,0,1
45.25,45.25,1.0,0.0,0,1
7192.8,99.9,0.0,1.0,0,72
348.5,69.7,1.0,0.0,1,5
3440.7999999999997,74.8,1.0,0.0,0,46
3615.8999999999996,106.35,1.0,0.0,1,34
1076.35,97.85,1.0,0.0,1,11
495.5,49.55,0.0,0.0,0,10
4844.0,69.2,0.0,1.0,0,70
352.75,20.75,0.0,0.0,0,17
5030.549999999999,79.85,0.0,1.0,0,63
990.6,76.2,1.0,0.0,0,13
4140.5,84.5,1.0,0.0,0,49
98.5,49.25,1.0,0.0,0,2
161.3,80.65,1.0,0.0,1,2
4147.0,79.75,0.0,1.0,0,52
4426.35,64.15,0.0,1.0,0,69
3880.75,90.25,1.0,0.0,0,43
1486.5,99.1,1.0,0.0,1,15
1737.5,69.5,1.0,0.0,0,25
645.2,80.65,1.0,0.0,1,8
4491.0,74.85,0.0,0.0,0,60
1718.1000000000001,95.45,1.0,0.0,1,18
6277.950000000001,99.65,0.0,0.0,0,63
7157.7,108.45,0.0,0.0,0,66
848.3,24.95,0.0,1.0,0,34
7740.0,107.5,0.0,1.0,0,72
4723.5,100.5,1.0,0.0,0,47
5394.0,89.9,1.0,0.0,0,60
3031.2000000000003,42.1,0.0,1.0,0,72
979.1999999999999,54.4,0.0,0.0,0,18
849.6,94.4,1.0,0.0,1,9
225.89999999999998,75.3,1.0,0.0,0,3
3708.3,78.9,0.0,0.0,0,47
2455.2000000000003,79.2,0.0,1.0,0,31
1007.4999999999999,20.15,0.0,1.0,0,50
798.5,79.85,1.0,0.0,0,10
49.05,49.05,1.0,0.0,0,1
1060.8,20.4,0.0,0.0,0,52
7142.4,111.6,0.0,1.0,0,64
1503.5,24.25,0.0,1.0,0,62
193.5,64.5,1.0,0.0,0,3
6188.0,110.5,0.0,0.0,0,56
2559.9,55.65,0.0,0.0,0,46
437.2,54.65,1.0,0.0,0,8
2242.5,74.75,1.0,0.0,0,30
1165.5,25.9,0.0,0.0,0,45
79.35,79.35,1.0,0.0,1,1
556.05,50.55,1.0,0.0,0,11
526.0500000000001,75.15,1.0,0.0,1,7
4359.599999999999,103.8,1.0,0.0,0,42
987.3499999999999,20.15,0.0,1.0,0,49
893.6999999999999,99.3,1.0,0.0,0,9
2175.25,62.15,0.0,0.0,0,35
991.1999999999999,20.65,0.0,1.0,0,48
917.6999999999999,19.95,0.0,1.0,0,46
978.75,33.75,1.0,0.0,0,29
2461.5,82.05,1.0,0.0,0,30
74.7,74.7,1.0,0.0,0,1
5544.0,84.0,0.0,1.0,0,66
7218.25,111.05,1.0,0.0,0,65
7264.8,100.9,0.0,1.0,0,72
947.4000000000001,78.95,1.0,0.0,1,12
4746.349999999999,66.85,0.0,0.0,0,71
105.25,21.05,1.0,0.0,1,5
1092.0,21.0,0.0,1.0,0,52
2462.5,98.5,1.0,0.0,1,25
20.2,20.2,1.0,0.0,0,1
19.45,19.45,1.0,0.0,0,1
3610.0,95.0,0.0,0.0,0,38
3006.2999999999997,45.55,0.0,0.0,0,66
7480.0,110.0,0.0,1.0,1,68
121.5,24.3,1.0,0.0,0,5
7498.8,104.15,0.0,0.0,0,72
964.8,30.15,0.0,0.0,0,32
4057.0499999999997,94.35,0.0,0.0,0,43
1396.8,19.4,0.0,1.0,0,72
5321.25,96.75,1.0,0.0,1,55
3013.4,57.95,0.0,0.0,0,52
3940.9500000000003,91.65,1.0,0.0,0,43
2830.5,76.5,1.0,0.0,1,37
3494.4,54.6,0.0,1.0,0,64
269.54999999999995,89.85,1.0,0.0,0,3
1117.8,31.05,0.0,1.0,0,36
1002.5,100.25,1.0,0.0,1,10
846.65,20.65,0.0,1.0,0,41
2300.4,85.2,1.0,0.0,0,27
5588.8,99.8,0.0,0.0,0,56
124.19999999999999,20.7,1.0,0.0,0,6
223.20000000000002,74.4,1.0,0.0,1,3
354.90000000000003,50.7,1.0,0.0,0,7
83.4,20.85,1.0,0.0,0,4
2935.35,88.95,0.0,1.0,0,33
2107.35,78.05,1.0,0.0,1,27
1695.6000000000001,23.55,0.0,1.0,0,72
19.75,19.75,1.0,0.0,0,1
4007.9500000000003,56.45,0.0,0.0,0,71
1117.3500000000001,85.95,1.0,0.0,0,13
1465.0,58.6,1.0,0.0,1,25
3386.85,50.55,0.0,1.0,0,67
35.45,35.45,1.0,0.0,1,1
88.7,44.35,1.0,0.0,1,2
1105.1,25.7,0.0,1.0,0,43
1725.0,75.0,1.0,0.0,0,23
1292.8,20.2,0.0,1.0,0,64
1117.2,19.6,0.0,1.0,0,57
70.45,70.45,1.0,0.0,1,1
6339.599999999999,88.05,0.0,1.0,0,72
569.2,71.15,1.0,0.0,1,8
6164.05,101.05,0.0,1.0,0,61
5395.2,84.3,0.0,0.0,0,64
1700.45,23.95,0.0,1.0,0,71
6438.25,99.05,0.0,1.0,0,65
58.800000000000004,19.6,0.0,0.0,0,3
45.65,45.65,1.0,0.0,1,1
1935.0,64.5,0.0,0.0,0,30
1042.5,69.5,1.0,0.0,0,15
548.4,68.55,1.0,0.0,0,8
665.0,95.0,1.0,0.0,1,7
7570.5,108.15,0.0,0.0,0,70
5338.2,86.1,0.0,1.0,0,62
118.19999999999999,19.7,1.0,0.0,0,6
1132.6000000000001,80.9,1.0,0.0,0,14
1851.3000000000002,84.15,1.0,0.0,0,22
443.29999999999995,20.15,0.0,0.0,0,22
1028.0,64.25,0.0,1.0,0,16
257.0,25.7,0.0,1.0,0,10
728.0,56.0,1.0,0.0,0,13
1648.0,82.4,1.0,0.0,1,20
139.4,69.7,1.0,0.0,0,2
3916.7000000000003,73.9,0.0,1.0,0,53
226.60000000000002,20.6,0.0,0.0,0,11
1373.1,19.9,0.0,1.0,0,69
283.6,70.9,1.0,0.0,1,4
6411.599999999999,89.05,0.0,1.0,0,72
2627.3999999999996,45.3,1.0,0.0,1,58
326.4,20.4,1.0,0.0,0,16
3622.75,84.25,0.0,0.0,0,43
208.8,104.4,1.0,0.0,1,2
1147.3,81.95,0.0,1.0,0,14
5027.049999999999,94.85,0.0,0.0,1,53
657.6,20.55,0.0,0.0,0,32
839.8,24.7,1.0,0.0,0,34
1116.75,74.45,1.0,0.0,1,15
535.15,76.45,1.0,0.0,1,7
1580.25,105.35,1.0,0.0,0,15
1253.55,20.55,0.0,0.0,0,61
29.95,29.95,1.0,0.0,1,1
45.3,45.3,1.0,0.0,0,1
676.0,84.5,1.0,0.0,1,8
2466.75,74.75,0.0,0.0,0,33
1030.25,79.25,1.0,0.0,1,13
24.8,24.8,1.0,0.0,1,1
1036.0,51.8,1.0,0.0,0,20
91.19999999999999,30.4,1.0,0.0,0,3
255.45,19.65,0.0,0.0,0,13
2264.0,56.6,1.0,0.0,0,40
3091.7000000000003,71.9,0.0,0.0,0,43
546.0,91.0,1.0,0.0,1,6
1362.75,19.75,0.0,1.0,0,69
7898.400000000001,109.7,0.0,1.0,0,72
1138.7,19.3,0.0,1.0,0,59
1931.0,96.55,1.0,0.0,0,20
578.4000000000001,24.1,0.0,1.0,0,24
6569.65,111.35,1.0,0.0,0,59
8082.0,112.25,0.0,1.0,0,72
20.75,20.75,1.0,0.0,0,1
2751.3,101.9,0.0,0.0,0,27
1120.7,80.05,1.0,0.0,0,14
7494.05,105.55,0.0,1.0,0,71
1017.9,78.3,1.0,0.0,0,13
3029.3999999999996,68.85,1.0,0.0,0,44
2638.35,79.95,0.0,0.0,0,33
3992.4,55.45,0.0,1.0,0,72
79.9,79.9,1.0,0.0,1,1
2025.3999999999999,106.6,1.0,0.0,1,19
6556.8,102.45,0.0,0.0,0,64
92.0,46.0,1.0,0.0,1,2
25.25,25.25,1.0,0.0,0,1
1204.75,19.75,0.0,1.0,0,61
580.0,20.0,0.0,0.0,0,29
1996.3999999999999,86.8,1.0,0.0,0,23
3348.75,58.75,1.0,0.0,0,57
3258.0,45.25,0.0,1.0,0,72
3735.6,56.6,0.0,1.0,0,66
5473.0,84.2,0.0,1.0,0,65
640.0,80.0,1.0,0.0,0,8
280.6,70.15,1.0,0.0,1,4
1757.25,24.75,0.0,1.0,0,71
20.2,20.2,0.0,0.0,0,1
200.2,50.05,1.0,0.0,1,4
232.20000000000002,19.35,0.0,0.0,0,12
1214.4,50.6,0.0,0.0,0,24
2515.65,81.15,0.0,0.0,0,31
55.2,55.2,1.0,0.0,1,1
2697.0,89.9,1.0,0.0,0,30
4009.1,85.3,0.0,1.0,0,47
5832.0,108.0,0.0,1.0,0,54
4675.0,93.5,1.0,0.0,0,50
84.6,84.6,1.0,0.0,1,1
1458.0,20.25,0.0,1.0,0,72
729.3499999999999,25.15,1.0,0.0,0,29
108.8,54.4,1.0,0.0,1,2
296.0,29.6,0.0,1.0,0,10
1316.7,73.15,1.0,0.0,0,18
1045.0,95.0,1.0,0.0,1,11
316.0,19.75,0.0,1.0,0,16
6235.2,86.6,0.0,1.0,0,72
7862.400000000001,109.2,0.0,1.0,0,72
3062.7000000000003,74.7,0.0,0.0,0,41
6136.0,94.4,1.0,0.0,0,65
712.4,54.8,1.0,0.0,0,13
301.4,75.35,1.0,0.0,0,4
2665.0,65.0,0.0,0.0,0,41
1116.0,74.4,1.0,0.0,1,15
48.55,48.55,1.0,0.0,1,1
4158.0,99.0,0.0,0.0,0,42
4768.5,93.5,0.0,0.0,0,51
140.8,70.4,1.0,0.0,1,2
40.2,40.2,1.0,0.0,1,1
2678.4,83.7,0.0,0.0,0,32
198.5,19.85,1.0,0.0,0,10
3989.85,59.55,0.0,1.0,0,67
7021.099999999999,115.1,0.0,1.0,0,61
5717.5,114.35,0.0,0.0,0,50
89.2,44.6,1.0,0.0,1,2
1305.0,45.0,1.0,0.0,0,29
