total_charges,monthly_charges,contract_month_to_month,contract_two_year,churn,tenure
50.55,50.55,1.0,0.0,1,1
231.6,19.3,0.0,0.0,0,12
2985.5,85.3,1.0,0.0,1,35
3069.0,85.25,1.0,0.0,1,36
2604.0,65.1,1.0,0.0,0,40
745.55,20.15,0.0,0.0,0,37
30.2,30.2,1.0,0.0,1,1
5457.0,90.95,0.0,0.0,1,60
775.0,25.0,1.0,0.0,0,31
5191.2,72.1,0.0,1.0,0,72
1365.6,85.35,1.0,0.0,1,16
217.2,54.3,1.0,0.0,1,4
4938.75,109.75,0.0,1.0,0,45
1090.8,60.6,1.0,0.0,0,18
377.75,75.55,1.0,0.0,1,5
79.8,19.95,1.0,0.0,0,4
7624.5,110.5,0.0,1.0,0,69
93.55,93.55,1.0,0.0,1,1
39.8,19.9,1.0,0.0,0,2
1650.0,50.0,1.0,0.0,0,33
5642.0,80.6,0.0,1.0,0,70
5309.7,80.45,1.0,0.0,1,66
1145.4,24.9,0.0,0.0,0,46
1757.25,24.75,0.0,1.0,0,71
4615.0,71.0,0.0,1.0,0,65
919.2,76.6,1.0,0.0,0,12
1991.0,90.5,1.0,0.0,1,22
5874.0,89.0,0.0,0.0,0,66
20.3,20.3,1.0,0.0,0,1
25.2,25.2,1.0,0.0,1,1
241.2,20.1,1.0,0.0,0,12
7560.0,105.0,0.0,1.0,0,72
5236.0,74.8,0.0,1.0,0,70
39.7,19.85,1.0,0.0,0,2
1415.2,88.45,1.0,0.0,1,16
260.0,20.0,0.0,1.0,0,13
92.1,46.05,1.0,0.0,1,2
543.4,20.9,1.0,0.0,0,26
1780.0,89.0,1.0,0.0,1,20
70.35,70.35,1.0,0.0,0,1
5854.8,104.55,0.0,0.0,1,56
446.75,89.35,1.0,0.0,1,5
4632.2,100.7,1.0,0.0,1,46
48.6,24.3,1.0,0.0,0,2
59.55,59.55,1.0,0.0,0,1
2395.75,64.75,1.0,0.0,1,37
8038.8,111.65,0.0,1.0,0,72
1073.25,20.25,0.0,1.0,0,53
1136.2,59.8,1.0,0.0,0,19
632.0,19.75,0.0,0.0,0,32
1746.0,24.25,0.0,1.0,0,72
816.0,20.4,0.0,0.0,0,40
69.6,69.6,1.0,0.0,1,1
4807.599999999999,85.85,0.0,0.0,0,56
69.75,69.75,1.0,0.0,1,1
141.4,70.7,1.0,0.0,1,2
7740.0,107.5,0.0,1.0,0,72
887.4000000000001,30.6,1.0,0.0,1,29
3956.4,94.2,1.0,0.0,1,42
4438.2,85.35,1.0,0.0,1,52
662.75,60.25,1.0,0.0,0,11
1247.75,54.25,1.0,0.0,0,23
1562.4,50.4,0.0,0.0,0,31
74.0,74.0,1.0,0.0,0,1
1991.85,40.65,1.0,0.0,0,49
4699.75,85.45,1.0,0.0,1,55
484.8,80.8,1.0,0.0,0,6
477.25,20.75,0.0,0.0,0,23
5855.8,87.4,0.0,0.0,1,67
5950.8,82.65,0.0,1.0,0,72
4711.15,79.85,0.0,0.0,0,59
179.0,89.5,1.0,0.0,1,2
1803.45,54.65,1.0,0.0,0,33
1403.15,73.85,1.0,0.0,1,19
24.25,24.25,1.0,0.0,1,1
3294.9,78.45,0.0,1.0,0,42
7941.599999999999,110.3,0.0,1.0,0,72
1927.4,83.8,1.0,0.0,1,23
1391.6,19.6,0.0,1.0,0,71
58.35,19.45,0.0,0.0,0,3
8032.5,114.75,0.0,1.0,0,70
25.25,25.25,1.0,0.0,0,1
4074.0,101.85,1.0,0.0,1,40
5915.7,109.55,1.0,0.0,0,54
5289.55,107.95,0.0,1.0,1,49
2010.0,50.25,0.0,0.0,0,40
2370.0,98.75,1.0,0.0,1,24
6130.8,85.15,0.0,1.0,0,72
256.75,19.75,0.0,1.0,0,13
110.55,36.85,1.0,0.0,1,3
3492.45,89.55,0.0,0.0,1,39
5537.15,93.85,1.0,0.0,1,59
69.65,69.65,1.0,0.0,1,1
5820.299999999999,100.35,0.0,0.0,0,58
98.25,19.65,1.0,0.0,0,5
603.75,86.25,1.0,0.0,1,7
1221.5,87.25,1.0,0.0,1,14
159.5,79.75,1.0,0.0,1,2
2269.4,81.05,1.0,0.0,1,28
5292.0,84.0,0.0,0.0,0,63
625.4499999999999,89.35,1.0,0.0,1,7
24.25,24.25,1.0,0.0,1,1
297.6,74.4,1.0,0.0,1,4
20.5,20.5,1.0,0.0,1,1
3440.8,74.8,1.0,0.0,0,46
2232.0,69.75,1.0,0.0,1,32
809.75,19.75,0.0,0.0,0,41
505.2000000000001,21.05,0.0,0.0,0,24
295.6,73.9,1.0,0.0,1,4
1735.95,24.45,0.0,1.0,0,71
729.0,20.25,0.0,1.0,0,36
6599.85,95.65,0.0,0.0,0,69
481.65,25.35,1.0,0.0,0,19
775.5,70.5,1.0,0.0,0,11
59.85,19.95,1.0,0.0,0,3
20.15,20.15,1.0,0.0,0,1
6066.95,85.45,0.0,0.0,0,71
2500.1,54.35,0.0,1.0,1,46
605.55,55.05,1.0,0.0,0,11
3135.0,95.0,1.0,0.0,0,33
1339.0,25.75,0.0,1.0,0,52
19.65,19.65,1.0,0.0,0,1
2622.0,69.0,0.0,0.0,0,38
1413.5,25.7,0.0,1.0,0,55
187.7,93.85,1.0,0.0,1,2
79.55,79.55,1.0,0.0,1,1
1605.15,55.35,0.0,0.0,0,29
510.9,85.15,1.0,0.0,1,6
3684.8,75.2,1.0,0.0,1,49
45.15,45.15,1.0,0.0,0,1
69.9,69.9,1.0,0.0,1,1
101.75,20.35,1.0,0.0,0,5
4367.25,97.05,1.0,0.0,0,45
1193.4,99.45,1.0,0.0,1,12
676.0,26.0,0.0,0.0,0,26
319.6,79.9,1.0,0.0,1,4
1299.6,54.15,1.0,0.0,1,24
7075.2,105.6,0.0,0.0,0,67
277.4,69.35,1.0,0.0,0,4
7269.15,105.35,0.0,1.0,0,69
4260.2,62.65,0.0,1.0,0,68
7503.75,108.75,0.0,0.0,0,69
275.8,19.7,0.0,1.0,0,14
727.65,80.85,1.0,0.0,1,9
70.25,70.25,1.0,0.0,1,1
74.7,74.7,1.0,0.0,1,1
50.35,50.35,1.0,0.0,1,1
547.4,19.55,1.0,0.0,0,28
88.3,44.15,1.0,0.0,1,2
557.6,69.7,1.0,0.0,1,8
202.8,50.7,1.0,0.0,1,4
1569.4,56.05,1.0,0.0,0,28
75.1,75.1,1.0,0.0,1,1
80.2,80.2,1.0,0.0,1,1
408.4,51.05,1.0,0.0,1,8
303.0,25.25,0.0,1.0,0,12
3285.6,88.8,1.0,0.0,0,37
50.1,25.05,1.0,0.0,1,2
45.7,45.7,1.0,0.0,1,1
119.1,19.85,1.0,0.0,0,6
526.0500000000001,75.15,1.0,0.0,1,7
70.25,70.25,1.0,0.0,1,1
2749.5,105.75,1.0,0.0,1,26
202.8,50.7,1.0,0.0,0,4
1522.8,21.15,0.0,1.0,0,72
179.2,44.8,1.0,0.0,0,4
1451.1,69.1,1.0,0.0,1,21
43.95,43.95,1.0,0.0,1,1
1891.0,94.55,1.0,0.0,1,20
457.0,91.4,1.0,0.0,1,5
348.5,69.7,1.0,0.0,1,5
59.400000000000006,19.8,1.0,0.0,1,3
291.75,19.45,1.0,0.0,0,15
5032.5,100.65,0.0,0.0,0,50
681.6,85.2,1.0,0.0,1,8
82.8,20.7,1.0,0.0,0,4
1100.25,24.45,0.0,1.0,0,45
3300.0,100.0,1.0,0.0,0,33
274.5,91.5,1.0,0.0,1,3
3343.6,64.3,0.0,0.0,0,52
2179.25,94.75,1.0,0.0,1,23
846.5999999999999,49.8,1.0,0.0,0,17
1331.2,25.6,0.0,1.0,0,52
8182.8,113.65,0.0,1.0,0,72
501.25,20.05,0.0,0.0,0,25
45.7,45.7,1.0,0.0,1,1
1113.0,74.2,1.0,0.0,1,15
1385.6,86.6,1.0,0.0,1,16
141.75,20.25,1.0,0.0,0,7
996.6,90.6,1.0,0.0,0,11
3557.25,69.75,0.0,0.0,0,51
5527.599999999999,106.3,0.0,1.0,0,52
1515.5500000000002,89.15,1.0,0.0,1,17
5922.8,88.4,0.0,0.0,0,67
6532.0,92.0,0.0,0.0,0,71
45.1,45.1,1.0,0.0,1,1
1054.6999999999998,19.9,0.0,1.0,0,53
251.7,83.9,1.0,0.0,1,3
6617.2,93.2,0.0,1.0,0,71
847.0,84.7,1.0,0.0,1,10
2256.8,80.6,1.0,0.0,0,28
1192.4,54.2,1.0,0.0,1,22
171.4,85.7,1.0,0.0,1,2
4783.8,93.8,1.0,0.0,1,51
1407.6,19.55,0.0,1.0,0,72
503.4,83.9,1.0,0.0,1,6
1500.0,50.0,1.0,0.0,0,30
944.3,24.85,1.0,0.0,0,38
93.55,93.55,1.0,0.0,1,1
856.0,85.6,1.0,0.0,1,10
3118.5,94.5,1.0,0.0,1,33
462.5,92.5,1.0,0.0,1,5
20.2,20.2,1.0,0.0,1,1
1523.75,66.25,0.0,0.0,0,23
5049.0,112.2,0.0,0.0,0,45
2872.45,99.05,1.0,0.0,1,29
2550.0,85.0,1.0,0.0,1,30
5112.450000000001,81.15,0.0,0.0,0,63
1669.8,25.3,0.0,1.0,0,66
802.4,100.3,1.0,0.0,1,8
2182.8,64.2,0.0,0.0,0,34
74.95,74.95,1.0,0.0,1,1
6334.65,100.55,1.0,0.0,1,63
5964.3,110.45,0.0,1.0,0,54
2856.0,81.6,0.0,0.0,0,35
19.6,19.6,1.0,0.0,1,1
4170.400000000001,80.2,0.0,0.0,0,52
8136.599999999999,114.6,0.0,1.0,0,71
4506.75,100.15,0.0,0.0,0,45
561.3,93.55,1.0,0.0,1,6
952.5,38.1,0.0,0.0,0,25
41.5,20.75,1.0,0.0,0,2
274.6,68.65,1.0,0.0,1,4
0.0,73.35,0.0,1.0,0,0
75.75,25.25,1.0,0.0,1,3
85.05,85.05,1.0,0.0,1,1
6572.75,107.75,0.0,0.0,0,61
2706.4,79.6,1.0,0.0,1,34
663.3000000000001,20.1,0.0,0.0,0,33
499.44999999999993,71.35,1.0,0.0,0,7
6984.25,107.45,0.0,0.0,0,65
2205.9,81.7,0.0,0.0,0,27
398.4,99.6,1.0,0.0,1,4
4510.55,76.45,0.0,1.0,0,59
7575.7,106.7,0.0,1.0,0,71
4641.2,113.2,1.0,0.0,1,41
1283.4,55.8,0.0,0.0,0,23
575.6500000000001,19.85,1.0,0.0,0,29
82.8,20.7,1.0,0.0,0,4
3386.85,50.55,0.0,1.0,0,67
159.5,79.75,1.0,0.0,1,2
7132.8,111.45,0.0,0.0,0,64
7603.2,105.6,0.0,1.0,0,72
44.4,44.4,1.0,0.0,1,1
80.55,80.55,1.0,0.0,0,1
20.2,20.2,1.0,0.0,0,1
2449.05,84.45,1.0,0.0,1,29
5492.6,94.7,0.0,0.0,0,58
5921.799999999999,102.1,1.0,0.0,1,58
2440.8,45.2,0.0,1.0,0,54
1283.1,91.65,1.0,0.0,1,14
2627.4,45.3,1.0,0.0,1,58
1795.3,69.05,1.0,0.0,0,26
50.9,50.9,1.0,0.0,1,1
2910.25,83.15,1.0,0.0,0,35
671.5500000000001,20.35,0.0,1.0,0,33
485.44999999999993,69.35,1.0,0.0,1,7
4357.599999999999,83.8,1.0,0.0,0,52
1280.4,106.7,1.0,0.0,1,12
4240.05,61.45,0.0,1.0,0,69
5613.3,103.95,0.0,0.0,1,54
19.9,19.9,1.0,0.0,1,1
1382.4,57.6,0.0,0.0,0,24
732.6,19.8,0.0,0.0,0,37
4388.400000000001,60.95,0.0,1.0,0,72
2308.8,88.8,1.0,0.0,1,26
78.95,78.95,1.0,0.0,1,1
3225.0,107.5,1.0,0.0,0,30
1409.1,33.55,0.0,0.0,1,42
1140.0,76.0,1.0,0.0,1,15
80.2,20.05,1.0,0.0,0,4
5875.2,91.8,1.0,0.0,0,64
623.1,20.1,0.0,0.0,0,31
7348.5,106.5,0.0,1.0,1,69
2440.2,49.8,0.0,1.0,0,49
2994.3,55.45,0.0,0.0,0,54
25.25,25.25,1.0,0.0,1,1
2813.9,74.05,0.0,0.0,0,38
342.0,19.0,1.0,0.0,0,18
2579.85,95.55,1.0,0.0,1,27
141.4,70.7,1.0,0.0,1,2
463.45,20.15,0.0,0.0,0,23
7596.0,105.5,0.0,1.0,0,72
20.35,20.35,1.0,0.0,0,1
2296.55,99.85,1.0,0.0,1,23
84.85,84.85,1.0,0.0,1,1
5988.5,103.25,0.0,0.0,1,58
3684.8,75.2,1.0,0.0,1,49
73.0,73.0,1.0,0.0,1,1
3596.7000000000003,94.65,1.0,0.0,1,38
41.4,20.7,1.0,0.0,0,2
89.2,44.6,1.0,0.0,1,2
6360.0,106.0,0.0,0.0,1,60
5385.299999999999,92.85,1.0,0.0,0,58
2252.9,86.65,1.0,0.0,0,26
6466.0,106.0,0.0,0.0,1,61
937.2,78.1,1.0,0.0,1,12
188.5,18.85,1.0,0.0,0,10
348.4,87.1,1.0,0.0,1,4
193.2,64.4,1.0,0.0,0,3
753.35,39.65,1.0,0.0,1,19
6857.5,105.5,1.0,0.0,1,65
469.5,93.9,1.0,0.0,1,5
7157.7,108.45,0.0,0.0,0,66
7081.900000000001,105.7,0.0,0.0,0,67
7323.6,107.7,1.0,0.0,0,68
1198.5,70.5,1.0,0.0,0,17
43.95,43.95,1.0,0.0,1,1
98.5,49.25,1.0,0.0,0,2
6840.849999999999,96.35,0.0,1.0,0,71
2095.3,45.55,1.0,0.0,0,46
1201.8000000000002,100.15,1.0,0.0,1,12
5722.599999999999,92.3,0.0,0.0,0,62
691.65,76.85,1.0,0.0,0,9
3219.0,55.5,0.0,1.0,0,58
81.6,20.4,1.0,0.0,0,4
1083.5,19.7,0.0,0.0,0,55
1063.8,59.1,1.0,0.0,0,18
5324.0,96.8,1.0,0.0,1,55
74.7,74.7,1.0,0.0,1,1
152.8,76.4,1.0,0.0,1,2
3961.0,58.25,0.0,0.0,0,68
2332.2,59.8,0.0,0.0,0,39
4020.5,73.1,1.0,0.0,0,55
219.45,19.95,1.0,0.0,1,11
1455.5,20.5,0.0,1.0,0,71
7465.650000000001,105.15,0.0,1.0,0,71
1892.4,78.85,1.0,0.0,1,24
1286.4,53.6,1.0,0.0,0,24
157.2,19.65,1.0,0.0,1,8
862.4000000000001,19.6,1.0,0.0,0,44
5423.4,78.6,0.0,0.0,1,69
61.8,30.9,1.0,0.0,1,2
2821.5,94.05,1.0,0.0,1,30
703.8000000000001,19.55,0.0,0.0,0,36
1043.2,65.2,1.0,0.0,1,16
1409.1,33.55,0.0,0.0,1,42
7822.8,108.65,0.0,1.0,0,72
3474.0,96.5,1.0,0.0,1,36
