total_charges,contract,monthly_charges,payment_method,tenure
1361.85,1,64.85,3,21
5248.8,2,97.2,0,54
23.45,0,23.45,2,1
280.8,0,70.2,2,4
0.0,2,61.9,0,0
486.85,0,69.55,2,7
606.4,2,18.95,3,32
1425.6,2,19.8,1,72
753.35,0,39.65,2,19
199.5,1,19.95,0,10
1451.1,0,69.1,2,21
3152.25,0,70.05,2,45
633.6,1,19.8,1,32
4230.0,1,105.75,0,40
1969.3,2,41.9,3,47
1911.6,2,53.1,3,36
7251.9,1,105.1,1,69
5729.7,2,80.7,1,71
1750.15,2,24.65,0,71
1860.25,1,53.15,1,35
163.95,0,54.65,3,3
7898.400000000001,2,109.7,1,72
6523.2,2,90.6,1,72
4964.0,1,73.0,1,68
2299.5,1,54.75,2,42
430.5,1,20.5,0,21
736.8,0,92.1,2,8
753.0,0,75.3,2,10
7579.25,2,106.75,1,71
4199.8,1,91.3,0,46
240.0,0,80.0,2,3
1095.6,0,91.3,2,12
1244.1,1,47.85,0,26
150.45,0,50.15,3,3
3648.05,2,74.45,0,49
2659.8,2,80.6,0,33
3964.8,0,94.4,2,42
2332.75,1,75.25,0,31
7286.200000000001,1,107.15,1,68
7672.5,1,116.25,2,66
1133.9,1,19.55,2,58
703.5,2,20.1,3,35
20.2,0,20.2,0,1
2992.0,0,74.8,1,40
990.6,0,76.2,2,13
3174.9,0,55.7,2,57
75.3,0,75.3,2,1
45.7,0,45.7,3,1
2500.1,2,54.35,1,46
3782.0,0,94.55,1,40
1627.5,1,77.5,3,21
588.9000000000001,0,98.15,0,6
6554.9,2,111.1,3,59
879.0,0,58.6,1,15
2552.85,0,94.55,3,27
8257.3,1,116.3,0,71
4018.5,0,89.3,1,45
82.8,0,20.7,3,4
19.6,0,19.6,3,1
4669.45,0,99.35,2,47
1693.1999999999998,0,49.8,2,34
979.2,1,54.4,1,18
434.0,1,54.25,0,8
248.5,1,35.5,1,7
422.5,0,84.5,2,5
2312.7,1,59.3,2,39
598.8499999999999,0,20.65,3,29
55.2,0,55.2,3,1
775.0,0,25.0,1,31
48.6,0,24.3,3,2
4460.4,1,70.8,1,63
1576.0,0,78.8,2,20
5914.3,2,83.3,1,71
4035.9,2,61.15,0,66
361.2,0,45.15,3,8
192.0,0,96.0,2,2
105.3,0,35.1,3,3
951.75,2,20.25,1,47
98.5,0,49.25,2,2
74.0,0,74.0,2,1
141.75,1,20.25,3,7
7245.0,2,105.0,2,69
526.5,0,105.3,2,5
1391.6,2,19.6,3,71
74.3,0,74.3,1,1
1255.1,0,89.65,1,14
561.1500000000001,0,19.35,1,29
4580.8,2,81.8,1,56
574.5,0,95.75,2,6
40.2,0,40.2,2,1
4183.7,1,90.95,0,46
2164.0,0,108.2,0,20
1716.0,0,85.8,1,20
2821.25,0,76.25,2,37
472.8,2,19.7,3,24
2744.8500000000004,0,94.65,1,29
2192.4,0,104.4,0,21
1962.7,0,103.3,2,19
4352.4,2,80.6,2,54
38.6,1,19.3,1,2
2816.1,0,104.3,0,27
2794.5,2,60.75,0,46
353.7,0,19.65,3,18
1032.2,2,19.85,3,52
2414.45,0,56.15,2,43
59.85,0,19.95,3,3
179.2,0,44.8,1,4
501.3,0,83.55,1,6
3528.0,0,100.8,2,35
4100.4,2,60.3,1,68
481.25,0,96.25,2,5
133.8,0,44.6,2,3
291.0,0,72.75,2,4
101.2,2,25.3,1,4
159.4,0,79.7,0,2
4404.0,0,110.1,1,40
951.0,0,95.1,1,10
1932.0,0,80.5,2,24
7732.8,2,107.4,0,72
2383.2,0,99.3,1,24
6235.2,2,86.6,0,72
52.2,0,52.2,2,1
1590.3,0,88.35,2,18
160.2,0,40.05,2,4
3270.6,0,90.85,2,36
827.75,0,75.25,2,11
69.55,0,69.55,2,1
3355.8,0,79.9,2,42
1365.6,0,85.35,1,16
5717.5,1,114.35,1,50
24.6,0,24.6,2,1
758.1,2,19.95,3,38
1916.4,0,79.85,2,24
1850.7,0,59.7,0,31
155.6,0,19.45,0,8
4624.65,1,107.55,2,43
4009.95,2,70.35,1,57
271.05,2,20.85,3,13
3584.0,1,89.6,1,40
451.95,1,19.65,3,23
6019.2,2,83.6,1,72
4633.75,1,84.25,1,55
5349.6,0,111.45,0,48
74.95,0,74.95,2,1
3504.6,0,97.35,0,36
762.8499999999999,0,69.35,2,11
84.6,0,84.6,2,1
5215.200000000001,0,98.4,1,53
3573.5,1,51.05,0,70
1148.4,1,95.7,2,12
2083.4,0,94.7,1,22
3797.75,2,69.05,1,55
1804.6,0,64.45,0,28
1151.3000000000002,2,19.85,3,58
374.3,1,19.7,1,19
1807.85,0,95.15,2,19
2245.9500000000003,0,72.45,0,31
1162.2,0,89.4,2,13
20.2,0,20.2,3,1
70.65,0,70.65,3,1
1323.9,0,73.55,2,18
259.35,1,19.95,3,13
40.6,1,20.3,3,2
4546.5,2,64.95,1,70
851.4000000000001,2,19.35,1,44
83.4,0,20.85,3,4
4949.75,2,76.15,0,65
7075.150000000001,1,99.65,1,71
3446.4,1,53.85,0,64
2585.8,0,92.35,3,28
1542.4,0,96.4,2,16
7994.0,2,114.2,0,70
3178.5,0,81.5,0,39
855.0,0,45.0,0,19
6297.0,0,104.95,0,60
4607.849999999999,1,90.35,1,51
6188.0,1,110.5,2,56
6930.0,0,105.0,1,66
3219.0,2,55.5,1,58
4077.9,1,59.1,0,69
1516.05,0,56.15,3,27
48.6,0,48.6,2,1
120.0,0,20.0,3,6
175.35,0,25.05,0,7
557.6,0,69.7,2,8
1042.5,0,69.5,3,15
183.6,0,20.4,3,9
807.0,0,67.25,2,12
1776.25,0,71.05,3,25
2269.4,0,81.05,2,28
4931.85,2,100.65,1,49
2556.4500000000003,0,44.85,2,57
226.05,1,20.55,3,11
3524.25,0,95.25,2,37
4052.0,0,101.3,2,40
2440.8,2,45.2,1,54
1020.6,0,85.05,1,12
221.2,0,55.3,3,4
6807.900000000001,1,103.15,0,66
4165.0,2,59.5,0,70
74.9,0,74.9,2,1
5988.5,1,103.25,0,58
4044.35,0,86.05,1,47
315.4,0,78.85,2,4
3380.1,1,59.3,3,57
1410.0,0,94.0,1,15
2149.2,0,89.55,2,24
387.0,1,19.35,1,20
5996.3,1,98.3,3,61
799.2,0,49.95,2,16
7034.400000000001,2,97.7,1,72
555.8000000000001,2,39.7,3,14
92.1,0,46.05,0,2
5875.2,0,91.8,2,64
594.0,1,19.8,1,30
5724.8,1,89.45,0,64
6807.599999999999,2,111.6,1,61
4207.5,1,84.15,1,50
4460.3,1,94.9,1,47
3054.9,1,59.9,1,51
