no_internet_service,payment_method_mailed_check,contract_one_year,monthly_charges,tenure,churn
0.0,1.0,1.0,64.85,21,0
0.0,0.0,0.0,97.2,54,0
0.0,0.0,0.0,23.45,1,1
0.0,0.0,0.0,70.2,4,1
0.0,0.0,0.0,61.9,0,0
0.0,0.0,0.0,69.55,7,0
1.0,1.0,0.0,18.95,32,0
1.0,0.0,0.0,19.8,72,0
0.0,0.0,0.0,39.65,19,1
1.0,0.0,1.0,19.95,10,0
0.0,0.0,0.0,69.1,21,1
0.0,0.0,0.0,70.05,45,0
1.0,0.0,1.0,19.8,32,0
0.0,0.0,1.0,105.75,40,0
0.0,1.0,0.0,41.9,47,0
0.0,1.0,0.0,53.1,36,0
0.0,0.0,1.0,105.1,69,0
0.0,0.0,0.0,80.7,71,0
1.0,0.0,0.0,24.65,71,0
0.0,0.0,1.0,53.15,35,0
0.0,1.0,0.0,54.65,3,0
0.0,0.0,0.0,109.7,72,0
0.0,0.0,0.0,90.6,72,0
0.0,0.0,1.0,73.0,68,0
0.0,0.0,1.0,54.75,42,0
1.0,0.0,1.0,20.5,21,0
0.0,0.0,0.0,92.1,8,1
0.0,0.0,0.0,75.3,10,0
0.0,0.0,0.0,106.75,71,0
0.0,0.0,1.0,91.3,46,0
0.0,0.0,0.0,80.0,3,0
0.0,0.0,0.0,91.3,12,1
0.0,0.0,1.0,47.85,26,0
0.0,1.0,0.0,50.15,3,0
0.0,0.0,0.0,74.45,49,0
0.0,0.0,0.0,80.6,33,0
0.0,0.0,0.0,94.4,42,0
0.0,0.0,1.0,75.25,31,0
0.0,0.0,1.0,107.15,68,0
0.0,0.0,1.0,116.25,66,0
1.0,0.0,1.0,19.55,58,0
1.0,1.0,0.0,20.1,35,0
1.0,0.0,0.0,20.2,1,0
0.0,0.0,0.0,74.8,40,0
0.0,0.0,0.0,76.2,13,0
0.0,0.0,0.0,55.7,57,0
0.0,0.0,0.0,75.3,1,1
0.0,1.0,0.0,45.7,1,1
0.0,0.0,0.0,54.35,46,1
0.0,0.0,0.0,94.55,40,1
0.0,1.0,1.0,77.5,21,1
0.0,0.0,0.0,98.15,6,1
0.0,1.0,0.0,111.1,59,0
0.0,0.0,0.0,58.6,15,1
0.0,1.0,0.0,94.55,27,1
0.0,0.0,1.0,116.3,71,0
0.0,0.0,0.0,89.3,45,0
1.0,1.0,0.0,20.7,4,0
1.0,1.0,0.0,19.6,1,1
0.0,0.0,0.0,99.35,47,1
0.0,0.0,0.0,49.8,34,0
0.0,0.0,1.0,54.4,18,0
0.0,0.0,1.0,54.25,8,0
0.0,0.0,1.0,35.5,7,0
0.0,0.0,0.0,84.5,5,1
0.0,0.0,1.0,59.3,39,0
1.0,1.0,0.0,20.65,29,0
0.0,1.0,0.0,55.2,1,1
0.0,0.0,0.0,25.0,31,0
0.0,1.0,0.0,24.3,2,0
0.0,0.0,1.0,70.8,63,0
0.0,0.0,0.0,78.8,20,0
0.0,0.0,0.0,83.3,71,0
0.0,0.0,0.0,61.15,66,0
0.0,1.0,0.0,45.15,8,1
0.0,0.0,0.0,96.0,2,1
0.0,1.0,0.0,35.1,3,0
1.0,0.0,0.0,20.25,47,0
0.0,0.0,0.0,49.25,2,1
0.0,0.0,0.0,74.0,1,0
1.0,1.0,1.0,20.25,7,0
0.0,0.0,0.0,105.0,69,0
0.0,0.0,0.0,105.3,5,0
1.0,1.0,0.0,19.6,71,0
0.0,0.0,0.0,74.3,1,1
0.0,0.0,0.0,89.65,14,1
1.0,0.0,0.0,19.35,29,0
0.0,0.0,0.0,81.8,56,0
0.0,0.0,0.0,95.75,6,1
0.0,0.0,0.0,40.2,1,1
0.0,0.0,1.0,90.95,46,0
0.0,0.0,0.0,108.2,20,0
0.0,0.0,0.0,85.8,20,1
0.0,0.0,0.0,76.25,37,1
1.0,1.0,0.0,19.7,24,0
0.0,0.0,0.0,94.65,29,1
0.0,0.0,0.0,104.4,21,1
0.0,0.0,0.0,103.3,19,1
0.0,0.0,0.0,80.6,54,0
1.0,0.0,1.0,19.3,2,1
0.0,0.0,0.0,104.3,27,1
0.0,0.0,0.0,60.75,46,0
1.0,1.0,0.0,19.65,18,0
1.0,1.0,0.0,19.85,52,0
0.0,0.0,0.0,56.15,43,1
1.0,1.0,0.0,19.95,3,0
0.0,0.0,0.0,44.8,4,0
0.0,0.0,0.0,83.55,6,1
