total_charges,contract_month_to_month,contract_two_year,monthly_charges,device_protection,tenure
1361.85,0.0,0.0,64.85,1,21
5248.8,0.0,1.0,97.2,0,54
23.45,1.0,0.0,23.45,0,1
280.8,1.0,0.0,70.2,0,4
0.0,0.0,1.0,61.9,0,0
486.85,1.0,0.0,69.55,0,7
606.4,0.0,1.0,18.95,0,32
1425.6,0.0,1.0,19.8,0,72
753.35,1.0,0.0,39.65,1,19
199.5,0.0,0.0,19.95,0,10
1451.1,1.0,0.0,69.1,0,21
3152.25,1.0,0.0,70.05,0,45
633.6,0.0,0.0,19.8,0,32
4230.0,0.0,0.0,105.75,1,40
1969.3,0.0,1.0,41.9,1,47
1911.6,0.0,1.0,53.1,1,36
7251.9,0.0,0.0,105.1,1,69
5729.7,0.0,1.0,80.7,1,71
1750.15,0.0,1.0,24.65,0,71
1860.25,0.0,0.0,53.15,1,35
163.95,1.0,0.0,54.65,0,3
7898.400000000001,0.0,1.0,109.7,1,72
6523.2,0.0,1.0,90.6,1,72
4964.0,0.0,0.0,73.0,1,68
2299.5,0.0,0.0,54.75,1,42
430.5,0.0,0.0,20.5,0,21
736.8,1.0,0.0,92.1,1,8
753.0,1.0,0.0,75.3,0,10
7579.25,0.0,1.0,106.75,1,71
4199.8,0.0,0.0,91.3,1,46
240.0,1.0,0.0,80.0,0,3
1095.6,1.0,0.0,91.3,0,12
1244.1,0.0,0.0,47.85,1,26
150.45,1.0,0.0,50.15,0,3
3648.05,0.0,1.0,74.45,1,49
2659.8,0.0,1.0,80.6,0,33
3964.8,1.0,0.0,94.4,1,42
2332.75,0.0,0.0,75.25,0,31
7286.200000000001,0.0,0.0,107.15,1,68
7672.5,0.0,0.0,116.25,1,66
1133.9,0.0,0.0,19.55,0,58
703.5,0.0,1.0,20.1,0,35
20.2,1.0,0.0,20.2,0,1
2992.0,1.0,0.0,74.8,0,40
990.6,1.0,0.0,76.2,0,13
3174.9,1.0,0.0,55.7,0,57
75.3,1.0,0.0,75.3,1,1
45.7,1.0,0.0,45.7,0,1
2500.1,0.0,1.0,54.35,1,46
3782.0,1.0,0.0,94.55,0,40
1627.5,0.0,0.0,77.5,0,21
588.9000000000001,1.0,0.0,98.15,1,6
6554.9,0.0,1.0,111.1,0,59
879.0,1.0,0.0,58.6,0,15
2552.85,1.0,0.0,94.55,0,27
8257.3,0.0,0.0,116.3,1,71
4018.5,1.0,0.0,89.3,1,45
82.8,1.0,0.0,20.7,0,4
19.6,1.0,0.0,19.6,0,1
4669.45,1.0,0.0,99.35,0,47
1693.1999999999998,1.0,0.0,49.8,0,34
979.2,0.0,0.0,54.4,1,18
434.0,0.0,0.0,54.25,0,8
248.5,0.0,0.0,35.5,1,7
422.5,1.0,0.0,84.5,1,5
2312.7,0.0,0.0,59.3,0,39
598.8499999999999,1.0,0.0,20.65,0,29
